Species                    mantle_length   	   
Metasepia_pfefferi	   0.080	 
Hapalochlaena_lunulata     0.050       
Hapalochlaena_maculosa     0.057	    	
Hapalochlaena_fasciata     0.045	    	
Octopus_vulgaris	   0.250	    
Dosidicus_gigas	   	   2.000	    
Todarodes_pacificus 	   0.500	    
Sepioloidea_lineolata	   0.070	    
Architeuthis_dux	   2.250	    
Callistoctopus_ornatus     0.130    
Enteroctopus_dofleini      0.600	    
Amphioctopus_marginatus    0.100    
Sepia_apama		   0.500	    
Sepia_officinalis          0.450	    
Sepia_pharaonis	           0.800	    
Sepiola_atlantica 	   0.021	    
Sepioteuthis_lessoniana    0.330	    

