Species                    Tentacles   	   
Metasepia_pfefferi	   tentacles	 
Hapalochlaena_lunulata     no_tentacles       
Hapalochlaena_maculosa     no_tentacles	    	
Hapalochlaena_fasciata     no_tentacles	    	
Octopus_vulgaris	   no_tentacles	    
Dosidicus_gigas	   	   tentacles	    
Todarodes_pacificus 	   tentacles	    
Sepioloidea_lineolata	   tentacles	    
Architeuthis_dux	   tentacles	    
Callistoctopus_ornatus     no_tentacles	    
Enteroctopus_dofleini      no_tentacles	    
Amphioctopus_marginatus    no_tentacles	    
Sepia_apama		   tentacles	    
Sepia_officinalis          tentacles	    
Sepia_pharaonis	           tentacles	    
Sepiola_atlantica 	   tentacles	    
Sepioteuthis_lessoniana    tentacles	    

